,Player Name,Average,Matches
177,A G Cremer,45.45454545454545,11
178,R W Price,20.0,5
179,C B Mpofu,0.0,8
180,J M Davison,0.0,3
181,N R Kumar,33.33333333333333,9
182,R Gunasekera,133.33333333333331,12
183,A Bagai*,140.0,5
184,A S Hansra,114.28571428571428,7
185,Rizwan Cheema,83.33333333333334,6
186,Z E Surkari,66.66666666666666,6
187,T G Gordon,0.0,4
188,Khurram Chohan,0.0,6
189,H S Baidwan,14.285714285714285,7
190,W D Balaji Rao,0.0,3
191,D O Obuya,133.33333333333331,3
192,T Mishra,185.71428571428572,7
193,P J Ongondo,0.0,1
194,S O Ngoche,0.0,5
195,S C J Broad,5.555555555555555,18
196,A B de Villiers,466.6666666666667,6
197,M N van Wyk,77.77777777777779,9
198,Saeed Ajmal,10.714285714285714,28
199,H Osinde,0.0,4
200,R W Chakabva,25.0,8
201,T Panyangara,25.0,12
202,R S Bopara,115.38461538461537,39
203,Imran Tahir,8.333333333333332,24
204,A R Cusack,56.25,16
205,J D P Oram,90.0,10
206,E S Szwarczynski,142.85714285714286,7
207,B P Kruger,0.0,1
208,L P C Silva,57.14285714285714,7
209,A D Russell,109.375,32
210,G C Wilson,121.73913043478262,23
211,Mahmudullah,149.36708860759492,79
212,A F Buurman,0.0,1
213,Adeel Raja,0.0,2
214,Shahriar Nafees,85.71428571428571,7
215,V Sibanda,163.63636363636365,22
216,S W Masakadza,33.33333333333333,3
217,H Patel,175.0,8
218,K Whatham,100.0,1
219,D Bishoo,10.526315789473683,19
220,W Barresi,233.33333333333334,3
221,A F Buurman,100.0,1
222,B P Loots,0.0,1
223,S L Malinga,7.4074074074074066,54
224,R Ashwin,40.54054054054054,37
225,K A Edwards,107.14285714285714,14
226,A J McKay,0.0,3
227,R T Ponting,200.0,10
228,Suhrawadi Shuvo,100.0,2
229,T D Paine,100.0,4
230,X J Doherty,6.25,16
231,J L Pattinson,0.0,6
232,L M P Simmons,209.0909090909091,33
233,M N Samuels,176.47058823529412,68
234,A Martin,0.0,5
235,L M P Simmons,300.0,1
